transaction_id,from_account,to_account,amount,timestamp,is_fraud,fraud_type,fraud_network
TX-000748,ACC-00432,ACC-01373,11338.67,2026-09-04 21:53:06,0,normal,NONE
TX-001359,ACC-01481,ACC-01457,7038.87,2026-09-07 19:50:30,0,normal,NONE
TX-012273,ACC-01570,ACC-00568,69009.74,2026-09-08 13:53:00,0,normal_high_value,NONE
TX-011106,ACC-00860,ACC-00144,8226.01,2026-09-04 10:11:17,0,normal,NONE
TX-010496,ACC-01026,ACC-00116,3366.04,2026-09-02 13:16:20,0,normal,NONE
TX-005392,ACC-01933,ACC-00891,6832.95,2026-09-09 21:28:23,0,normal,NONE
TX-009276,ACC-00549,ACC-00021,8237.96,2026-09-07 21:18:46,0,normal,NONE
TX-000354,ACC-01914,ACC-01629,12995.53,2026-09-05 11:36:43,0,normal,NONE
TX-011837,ACC-01986,ACC-00946,6627.62,2026-09-05 11:01:35,0,normal,NONE
TX-010305,ACC-00153,ACC-00687,5634.08,2026-09-03 18:43:39,0,normal,NONE
TX-006631,ACC-01504,ACC-01238,9065.98,2026-09-08 13:26:13,0,normal,NONE
TX-004520,ACC-00287,ACC-00792,13179.84,2026-09-04 11:08:07,0,normal,NONE
TX-001951,ACC-01145,ACC-00055,17235.7,2026-09-07 10:48:08,0,normal,NONE
TX-009096,ACC-01298,ACC-01037,17011.34,2026-09-03 18:19:06,0,normal,NONE
TX-002629,ACC-01389,ACC-00773,557.57,2026-09-08 21:53:29,0,normal,NONE
TX-003972,ACC-00021,ACC-00618,16433.49,2026-09-07 10:52:00,0,normal,NONE
TX-007273,ACC-00931,ACC-01019,1470.37,2026-09-01 21:08:36,0,normal,NONE
TX-012252,ACC-00490,ACC-01534,28110.88,2026-09-07 21:30:00,0,normal_high_value,NONE
TX-010099,ACC-01654,ACC-00026,14409.68,2026-09-01 14:54:22,0,normal,NONE
TX-006322,ACC-01516,ACC-00685,10285.39,2026-09-06 22:01:42,0,normal,NONE
TX-002865,ACC-00122,ACC-00881,3813.92,2026-09-07 14:52:33,0,normal,NONE
TX-005823,ACC-01128,ACC-01937,6091.22,2026-09-05 19:20:55,0,normal,NONE
TX-006826,ACC-01924,ACC-00800,11361.22,2026-09-01 11:26:27,0,normal,NONE
TX-010374,ACC-01557,ACC-00159,6135.39,2026-09-05 15:20:54,0,normal,NONE
TX-008727,ACC-01693,ACC-01996,16508.56,2026-09-06 11:43:08,0,normal,NONE
TX-008748,ACC-00913,ACC-00726,11610.35,2026-09-03 13:39:20,0,normal,NONE
TX-007898,ACC-00253,ACC-00085,10045.82,2026-09-09 14:16:35,0,normal,NONE
TX-005528,ACC-00967,ACC-01399,12895.78,2026-09-09 14:05:10,0,normal,NONE
TX-000458,ACC-01630,ACC-01629,7376.37,2026-09-08 12:40:19,0,normal,NONE
TX-012236,FRAUD-10-SRC-11,FRAUD-10-COLLECTOR,5979.73,2026-09-03 12:20:00,1,funneling,NET-10
TX-001808,ACC-01879,ACC-01394,2339.14,2026-09-06 18:23:05,0,normal,NONE
TX-002321,ACC-01674,ACC-00597,12418.47,2026-09-03 10:55:50,0,normal,NONE
TX-003845,ACC-00953,ACC-00975,10896.38,2026-09-01 09:06:31,0,normal,NONE
TX-003289,ACC-01058,ACC-00812,8671.98,2026-09-08 12:12:55,0,normal,NONE
TX-012757,ACC-00021,ACC-01903,76109.09,2026-09-03 23:07:00,0,normal_high_value,NONE
TX-006153,ACC-00962,ACC-00415,9340.29,2026-09-04 08:27:05,0,normal,NONE
TX-012023,FRAUD-01-NEXTHOP,FRAUD-01-OUT-06,10056.9,2026-09-05 13:53:00,1,fan_out,NET-01
TX-003380,ACC-00527,ACC-00572,17218.77,2026-09-02 21:53:46,0,normal,NONE
TX-004839,ACC-00676,ACC-01477,11087.5,2026-09-09 12:58:52,0,normal,NONE
TX-009970,ACC-00058,ACC-01457,12828.4,2026-09-04 14:22:55,0,normal,NONE
TX-007960,ACC-00111,ACC-00605,17948.16,2026-09-08 22:08:16,0,normal,NONE
TX-002228,ACC-00563,ACC-00708,17493.91,2026-09-04 22:02:04,0,normal,NONE
TX-009744,ACC-01268,ACC-00182,3644.9,2026-09-02 23:32:04,0,normal,NONE
TX-004843,ACC-00705,ACC-01742,16844.96,2026-09-05 12:03:09,0,normal,NONE
TX-000979,ACC-01447,ACC-00921,11420.62,2026-09-02 20:46:50,0,normal,NONE
TX-003077,ACC-01269,ACC-00680,12347.31,2026-09-01 08:43:07,0,normal,NONE
TX-008822,ACC-01795,ACC-01452,12575.46,2026-09-01 10:35:46,0,normal,NONE
TX-012029,FRAUD-02-SRC-04,FRAUD-02-COLLECTOR,7821.36,2026-09-06 17:06:00,1,funneling,NET-02
TX-003575,ACC-00422,ACC-00102,12511.09,2026-09-08 08:11:23,0,normal,NONE
